,city,v_w,t2m,blh,sp,tcc,tp,inversion_0/1,PM10,PM25,NO2,CO,month,year,day,hour,day_of_week
110,LD,2.8988223954507246,272.88477,509.25513,100197.81,1.0,1.9073486e-05,1,13.0,11.4048,11.3,0.498,January,2023,28,12:00:00,Saturday
111,LD,2.8757557657319803,272.11914,466.23535,100238.375,0.9200134,2.861023e-05,1,17.0,15.4143,11.1,0.369,January,2023,28,18:00:00,Saturday
112,LD,2.9684584795732425,270.70386,405.43506,100327.25,0.70910645,2.3841858e-06,1,7.0,6.4152,4.9,0.242,January,2023,29,00:00:00,Sunday
113,LD,4.448575989610107,270.85327,472.3069,100089.75,0.5368042,1.9073486e-06,1,11.0,9.4446,4.8,0.262,January,2023,29,06:00:00,Sunday
114,LD,5.192686611150036,271.94995,554.5493,99898.0,1.0,6.580353e-05,1,14.0,11.4048,7.6,0.286,January,2023,29,12:00:00,Sunday
115,LD,4.8639320401586055,272.15845,513.3728,99672.44,1.0,3.8146973e-05,1,22.0,19.3347,12.9,0.345,January,2023,29,18:00:00,Sunday
116,LD,6.2034001898527515,272.66113,623.8794,99188.125,1.0,7.6293945e-06,1,15.0,13.365,6.3,0.304,January,2023,30,00:00:00,Monday
117,LD,7.576025600080149,271.9021,802.74243,98477.06,0.9711304,8.2969666e-05,1,11.0,10.4247,7.9,0.28,January,2023,30,06:00:00,Monday
118,LD,7.399037194648052,273.34033,895.8428,97990.625,0.9928589,0.000600338,1,13.0,12.3849,12.0,0.332,January,2023,30,12:00:00,Monday
119,LD,6.212598497562997,274.83984,797.71436,98017.5,1.0,6.341934e-05,1,8.0,7.3953,13.9,0.358,January,2023,30,18:00:00,Monday
120,LD,5.94085858593543,275.46826,819.10986,98289.31,0.5896301,1.1444092e-05,1,4.0,3.4749,5.6,0.337,January,2023,31,00:00:00,Tuesday
121,LD,6.857950494271047,274.7859,915.5913,98778.56,0.71365356,4.7683716e-07,1,3.0,2.4948,6.5,0.313,January,2023,31,06:00:00,Tuesday
