,time,isobaricInhPa,latitude,longitude,number,step,valid_time,t
160,2022-01-21 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-21 00:00:00,271.437
161,2022-01-21 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-21 00:00:00,266.72754
162,2022-01-21 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-21 06:00:00,272.21826
163,2022-01-21 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-21 06:00:00,267.54492
164,2022-01-21 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-21 12:00:00,272.93335
165,2022-01-21 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-21 12:00:00,267.17993
166,2022-01-21 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-21 18:00:00,271.91284
167,2022-01-21 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-21 18:00:00,268.2556
168,2022-01-22 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-22 00:00:00,272.92993
169,2022-01-22 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-22 00:00:00,269.37793
170,2022-01-22 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-22 06:00:00,270.187
171,2022-01-22 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-22 06:00:00,268.14575
172,2022-01-22 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-22 12:00:00,272.23242
173,2022-01-22 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-22 12:00:00,266.85547
174,2022-01-22 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-22 18:00:00,271.44287
175,2022-01-22 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-22 18:00:00,267.0603
176,2022-01-23 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-23 00:00:00,272.05273
177,2022-01-23 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-23 00:00:00,269.95996
178,2022-01-23 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-23 06:00:00,273.21118
179,2022-01-23 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-23 06:00:00,271.1819
180,2022-01-23 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-23 12:00:00,272.9121
181,2022-01-23 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-23 12:00:00,271.47974
182,2022-01-23 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-23 18:00:00,274.59277
183,2022-01-23 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-23 18:00:00,270.59033
184,2022-01-24 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-24 00:00:00,274.7019
185,2022-01-24 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-24 00:00:00,270.72412
186,2022-01-24 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-24 06:00:00,274.51025
187,2022-01-24 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-24 06:00:00,270.31396
188,2022-01-24 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-24 12:00:00,274.41992
189,2022-01-24 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-24 12:00:00,272.91235
190,2022-01-24 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-24 18:00:00,275.9253
191,2022-01-24 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-24 18:00:00,272.67017
192,2022-01-25 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-25 00:00:00,275.09302
193,2022-01-25 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-25 00:00:00,271.03638
194,2022-01-25 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-25 06:00:00,274.49414
195,2022-01-25 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-25 06:00:00,270.18066
196,2022-01-25 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-25 12:00:00,275.0525
197,2022-01-25 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-25 12:00:00,272.8081
198,2022-01-25 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-25 18:00:00,275.93604
199,2022-01-25 18:00:00,925.0,52.5,17.0,0,0 days,2022-01-25 18:00:00,271.71387
200,2022-01-26 00:00:00,1000.0,52.5,17.0,0,0 days,2022-01-26 00:00:00,276.1858
201,2022-01-26 00:00:00,925.0,52.5,17.0,0,0 days,2022-01-26 00:00:00,272.14575
202,2022-01-26 06:00:00,1000.0,52.5,17.0,0,0 days,2022-01-26 06:00:00,276.02222
203,2022-01-26 06:00:00,925.0,52.5,17.0,0,0 days,2022-01-26 06:00:00,273.19238
204,2022-01-26 12:00:00,1000.0,52.5,17.0,0,0 days,2022-01-26 12:00:00,275.99463
205,2022-01-26 12:00:00,925.0,52.5,17.0,0,0 days,2022-01-26 12:00:00,272.0923
206,2022-01-26 18:00:00,1000.0,52.5,17.0,0,0 days,2022-01-26 18:00:00,274.23853
