Year;$ money of the day;$ 2021;Column 6;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12
1872;3.64;78.31939456340996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1874;1.17;26.654919998471453;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1885;0.88;25.245812166959986;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1886;0.71;20.368780271069987;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1891;0.67;19.22124335438999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1894;0.84;25.025131990675373;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1897;0.79;24.47696243278439;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1900;1.19;36.87036113292838;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1902;0.8;23.83345903873845;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1903;0.94;26.967117541979988;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1907;0.72;19.91796219665999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1924;1.43;21.632329218499997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1925;1.68;24.788089384799996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1932;0.87;16.475364756899996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1936;1.09;20.3481607987;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1946;1.12;14.826764567999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1950;1.71;18.370948283099995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1955;1.93;18.641535183599995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1956;1.93;18.371802359399997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1965;1.8;14.749121267999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1967;1.8;13.943183813999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1969;1.8;12.699338147999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1971;2.24;14.2963055424;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1975;11.53;55.47424852969999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1977;13.92;59.407683988799995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1978;14.02;55.65230398773005;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1985;27.56;66.29025241635686;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1987;18.4350393700787;41.99992054937886;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1989;18.22611328125;38.041279068012855;0.0;0.0;0.0;0.0;0.0;0.0;0.0
